,Name,Latitude,Longitude,Elevation,Earth Radius + Elevation
0,ISS (ZARYA),-15.239202698238957,3.093528452017803,423888.5030706283,6802025.503070628
1,KESTREL EYE IIM (KE2M),-46.16231821231256,79.79633586247886,253802.07531940698,6631939.075319407
2,AEROCUBE 12A,-24.181789545374787,30.458779273410425,480198.31840671564,6858335.318406716
3,AEROCUBE 12B,-45.070683612469054,139.7007464011677,483206.49199641036,6861343.49199641
4,LEMUR-2-VU,49.456050795342556,-65.74396657283056,469910.62873722805,6848047.628737228
5,LEMUR-2-ALEXANDER,-36.751751584037784,36.21445793214786,476203.3026856368,6854340.302685637
6,LEMUR-2-YUASA,-51.78817990842192,92.82843391811826,480967.4069047561,6859104.406904756
7,LEMUR-2-TOMHENDERSON,41.06141152760338,-40.64904162369615,470128.2847487952,6848265.284748795
8,1998-067PN,-32.22939649028867,113.76149075981007,304529.1802021139,6682666.180202113
9,ISS DEB (SEDA-AP),-51.445170863313365,-121.05813020405903,397310.13505250704,6775447.135052507
10,UNITE,-4.365402007800496,110.40976391818919,319523.2940635602,6697660.294063561
11,ISS DEB,-21.982249719325264,-178.68083210992927,394890.87500534917,6773027.8750053495
12,ISS DEB,-24.8895943180812,-176.65901671376827,394389.34738479025,6772526.34738479
13,RAAVANA-1,-47.39743370333252,-111.79843581120292,332673.3768392876,6710810.376839288
14,UGUISU,9.637405713442702,120.27457645288338,319104.3452094422,6697241.345209442
15,NEPALISAT-1,-47.4910419158488,-112.23155043044473,333438.7802596128,6711575.780259613
16,SPOOQY-1,-35.92348285766287,-86.29998311843163,333893.94131957844,6712030.941319578
17,RED-EYE 1 (PINOT),33.88872974638032,15.788130112082868,385264.5644483148,6763401.564448315
18,KRAKSAT,11.098038182501579,138.21408135749675,359002.96871514764,6737139.968715148
19,VCC A,51.72386322694242,46.8173367042897,334263.4310910249,6712400.431091025
20,ENTRYSAT,49.28976691673834,48.837407628096365,241849.94245431907,6619986.942454319
21,VCC B,19.574365175161034,115.58333605614442,325349.7702107139,6703486.770210714
22,RWASAT-1,11.624104012578291,-1.5582619392640034,385221.8059901629,6763358.805990163
23,AQT-D,-39.32549220909498,-150.3262574375497,399179.1537421198,6777316.15374212
24,NARSSCUBE-1,-50.9704852382329,-98.1408779543097,379039.8043344068,6757176.804334407
25,STPSAT-4,40.70664203393584,48.18415066065803,403190.9955975898,6781327.99559759
26,HARP,-40.43957850988361,-45.9899289230668,403478.8552344477,6781615.855234448
27,1998-067RA,-0.4632608570919034,178.1749845278286,390240.3806369965,6768377.380636997
28,PHOENIX,-51.785373231323696,-88.62781380641032,416055.9627328295,6794192.962732829
29,1998-067RC,2.031235835874957,-6.974841873833996,377392.2310991353,6755529.231099135
30,CRYOCUBE,39.80476453764694,127.90969522416492,364384.36501618585,6742521.365016186
31,AZTECHSAT-1,-13.999261831067708,-25.903327673149505,367980.07355171617,6746117.073551716
32,RADSAT-U,15.809486653363798,164.30305425091072,385677.0907726922,6763814.090772692
33,QARMAN,26.507547261076937,15.216872759050435,375848.07908182195,6753985.079081822
34,SORTIE,43.70492041341204,134.45315552587405,399582.50965801167,6777719.509658012
35,ICS-EF (ISS DEB),-40.44584017017515,-33.3491380815846,425014.70573965495,6803151.705739655
36,G-SAT,-49.2372524265672,-66.80507784759213,408344.16180456884,6786481.161804569
37,QUETZAL-1,35.90474825351774,142.44476348704322,384311.81687867775,6762448.816878677
38,RED-EYE 2 (MERLOT),48.01883003802214,68.81041449259612,409244.4155565266,6787381.415556527
39,RED-EYE 3 (CABERNET),47.408432289284406,66.69616883776827,408901.8115486148,6787038.811548615
40,DEMI,-34.29423563424317,-147.53083688585772,398789.2581328282,6776926.258132828
41,SPOC,45.10386888779543,60.01822940342367,406494.15923417674,6784631.159234176
42,BOBCAT-1,-24.085893522815883,-14.774496723677522,401367.23248542513,6779504.232485425
43,NEUTRON-1,-34.41074218750964,-24.55001448970533,411666.9764462212,6789803.976446222
44,1998-067RU,-21.71661342395034,-160.2045509296142,385878.4283302955,6764015.428330296
45,LEMUR-2-BAXTER-OLIVER,-29.35711097209295,-25.68390365746324,384779.2981012579,6762916.2981012575
46,LEMUR-2-DJARA,-12.79273369379006,-168.10392310602796,383619.77801254235,6761756.778012542
47,DESCENT,-49.755509827179225,-60.27161632068215,417711.0160417655,6795848.016041766
48,ISS DEB,-48.07235575790643,-103.88495418030737,432593.31385890493,6810730.313858905
49,RSP-01,47.3960793738189,71.90347790705286,414938.471679233,6793075.471679233
50,TAUSAT-1,-11.0073507650695,3.682679196566684,411135.1110778923,6789272.111077893
51,TSURU,5.330867329250761,17.4056891042287,411351.5074046905,6789488.507404691
52,STARS-EC,51.238680287202605,91.60254508560018,416503.08109611383,6794640.081096114
53,MMSATS-1,11.341888946381923,23.731987476181242,416351.67946691613,6794488.679466916
54,SOYUZ-MS 18,-15.23544318208992,3.096743462268033,423870.0144293396,6802007.014429339
55,CREW DRAGON 2,-15.23544318208992,3.096743462268033,423870.0144293396,6802007.014429339
56,TIANHE,20.1270445067416,-77.80184265490878,377569.6170724673,6755706.617072468
57,TIANZHOU-2,20.122294896394077,-77.81042880151522,377480.69462559256,6755617.694625593
58,RAMSAT,-8.88473112145433,-157.89157638635538,420115.7746885714,6798252.774688572
59,SOAR,-41.301391528464784,-28.939228207413596,424015.2020665013,6802152.202066502
60,SHENZHOU-12,20.122294896394077,-77.81042880151522,377480.69462559256,6755617.694625593
61,BD-28,-10.460476356096828,-156.60786171606037,419928.81711860455,6798065.817118605
62,MIR-SAT 1,-0.6032483507309913,-164.4605028287349,416839.0861353568,6794976.086135357
63,PROGRESS-MS 17,-15.23544318208992,3.096743462268033,423870.0144293396,6802007.014429339
64,ISS (NAUKA),-15.23544318208992,3.096743462268033,423870.0144293396,6802007.014429339
65,SL-25 R/B,-51.75385237995993,-81.43109341769181,152153.93825728743,6530290.938257287
